date,S,V,iv,delta,PNL,PNL_with_hedge
2011-07-05,532.440000,44.200000,0.259686,0.722654,0.000000,0.000000
2011-07-05,532.440000,44.200000,0.259686,0.722654,0.000000,-0.002568
2011-07-06,535.360000,46.900000,0.269337,0.733318,-2.700000,-0.594987
2011-07-07,546.600000,55.300000,0.269861,0.787576,-11.100000,-0.755109
2011-07-08,531.990000,43.950000,0.268563,0.719396,0.250000,-0.914573
2011-07-11,527.280000,41.000000,0.275950,0.691509,3.200000,-1.355218
2011-07-12,534.010000,46.400000,0.286788,0.722767,-2.200000,-2.103551
2011-07-13,538.260000,49.300000,0.287137,0.745056,-5.100000,-1.934231
2011-07-14,528.940000,41.150000,0.272178,0.706903,3.050000,-0.730399
2011-07-15,597.620000,99.650000,0.281490,0.940744,-55.450000,-10.682289
2011-07-18,594.940000,97.650000,0.300413,0.926444,-53.450000,-11.206301
2011-07-19,602.550000,103.800000,0.266228,0.960290,-59.600000,-10.308832
2011-07-20,595.350000,97.800000,0.299707,0.931925,-53.600000,-11.226191
2011-07-21,606.990000,108.150000,0.275666,0.964257,-63.950000,-10.732117
2011-07-22,618.230000,118.700000,0.248420,0.985999,-74.500000,-10.447735
2011-07-25,618.980000,119.950000,0.294243,0.971588,-75.750000,-10.962214
2011-07-26,622.520000,123.250000,0.286970,0.978582,-79.050000,-10.826699
2011-07-27,607.220000,108.650000,0.304805,0.957691,-64.450000,-11.203144
2011-07-28,610.940000,112.100000,0.302652,0.964977,-67.900000,-11.094568
2011-07-29,603.690000,106.800000,0.370045,0.924709,-62.600000,-12.794722
